,title,artist
1위,Butter,방탄소년단
2위,Next Level,aespa
3위,Dun Dun Dance,오마이걸(OH MY GIRL)
4위,헤픈 우연,헤이즈(Heize)
5위,ASAP,STAYC(스테이씨)
6위,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)"
7위,I Love U,성시경
8위,"Peaches (feat. Daniel Caesar, Giveon)",Justin Bieber(저스틴 비버)
9위,마.피.아. In the morning,ITZY (있지)
10위,롤린 (Rollin'),브레이브걸스(Brave Girls)
11위,라일락,아이유(IU)
12위,"친구, 그 오랜시간",정승환
13위,상상더하기,라붐(LABOUM)
14위,너를 사랑했던 시간,성시경
15위,Off My Face,Justin Bieber(저스틴 비버)
16위,운전만해 (We Ride),브레이브걸스(Brave Girls)
17위,체념,"정상동기 (김정수, 정기석, 이동휘, 이상이)"
18위,서울의 잠 못 이루는 밤 (Feat. 이수현),10CM
19위,우리 한 때 사랑한 건,성시경
20위,만약에,"M.O.M (별루지, 강창모, 박재정, 원슈타인)"
21위,Celebrity,아이유(IU)
22위,처음처럼 (Feat. 개리),헤이즈(Heize)
23위,Timeless,SG워너비
24위,미안해 널 사랑해 (Feat. 김필),헤이즈(Heize)
25위,Je T′aime,조이 (JOY)
26위,parachute,John K
27위,라라라,SG워너비
28위,Dynamite,방탄소년단
29위,그냥 안아달란 말야,다비치
30위,어푸 (Ah puh),아이유(IU)
31위,Beautiful Mistakes,Maroon 5(마룬 파이브)
32위,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들
33위,Kiss Me More (feat. SZA),Doja Cat(도자 캣)
34위,너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),케이시
35위,감기 (Feat. 창모),헤이즈(Heize)
36위,별빛 같은 나의 사랑아,임영웅
37위,Dolphin,오마이걸(OH MY GIRL)
38위,멜로디,ASH ISLAND
39위,맛 (Hot Sauce),NCT DREAM
40위,러브레터,정승환
41위,On The Ground,로제(ROSÉ)
42위,이음새,성시경
43위,Coin,아이유(IU)
44위,내 손을 잡아,아이유(IU)
45위,Life Goes On,방탄소년단
46위,불어온다,하이라이트(Highlight)
47위,Leave The Door Open,Bruno Mars(브루노 마스)
48위,Lovesick Girls,BLACKPINK
49위,내사람: Partner For Life,SG워너비
50위,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
51위,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685
52위,닫힌엔딩 (Closed Ending),숀(SHAUN)
53위,빗물에게 들으니 (Feat. 안예은),헤이즈(Heize)
54위,안녕이란 (Two Letters),황치열
55위,에잇(Prod.&Feat. SUGA of BTS),아이유(IU)
56위,If You Love Me (Feat. 주헌 (몬스타엑스)),NS Yoon-G
57위,고래 (Dive Into You),NCT DREAM
58위,Like 1999,Valley
59위,At My Worst,Pink Sweat$
60위,Blueming,아이유(IU)
61위,밤하늘의 별을(2020),경서
62위,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭
63위,Black Mamba,aespa
64위,밝게 빛나는 별이 되어 비춰줄게,송이한
65위,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션)
66위,방랑자,성시경
67위,12:45 (Stripped),Etham
68위,널 잊는 기적은 없었다,성시경
69위,죄와 벌,SG워너비
70위,잠이 오질 않네요,장범준
71위,살짝 설렜어 (Nonstop),오마이걸(OH MY GIRL)
72위,아이와 나의 바다,아이유(IU)
73위,Advice,태민 (TAEMIN)
74위,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM
75위,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재
76위,이제 나만 믿어요,임영웅
77위,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
78위,2002,Anne-Marie(앤 마리)
79위,살다가,SG워너비
80위,비도 오고 그래서 (Feat. 신용재),헤이즈(Heize)
81위,취기를 빌려 (취향저격 그녀 X 산들),산들
82위,밤편지,아이유(IU)
83위,And we go,성시경
84위,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
85위,돌림노래 (Feat. DEAN),아이유(IU)
86위,WE GO,프로미스나인
87위,Bang!,AJR
88위,그대를 사랑하는 10가지 이유(2021),이석훈
89위,파도,폴킴(Paul Kim)
90위,Flu,아이유(IU)
91위,365&7 (Feat. JAMIE),pH-1
92위,METEOR,창모(CHANGMO)
93위,마음을 담아,성시경
94위,신호등,이무진
95위,봄 안녕 봄,아이유(IU)
96위,이렇게 좋아해 본 적이 없어요,CHEEZE(치즈)
97위,굿모닝 (Feat. 원슈타인),버벌진트(Verbal Jint)
98위,Why,헤이즈(Heize)
99위,새까맣게,김재환
100위,아리랑,SG워너비
